NAME,URLs
국내 금,https://finance.naver.com/marketindex/goldDailyQuote.nhn?
국제 금,https://finance.naver.com/marketindex/worldDailyQuote.nhn?marketindexCd=CMDT_GC&fdtc=2
백금,https://finance.naver.com/marketindex/worldDailyQuote.nhn?marketindexCd=CMDT_PL&fdtc=2
은,https://finance.naver.com/marketindex/worldDailyQuote.nhn?marketindexCd=CMDT_SI&fdtc=2
팔라듐,https://finance.naver.com/marketindex/worldDailyQuote.nhn?marketindexCd=CMDT_PA&fdtc=2
휘발유,https://finance.naver.com/marketindex/oilDailyQuote.nhn?marketindexCd=OIL_GSL
고급휘발유,https://finance.naver.com/marketindex/oilDailyQuote.nhn?marketindexCd=OIL_HGSL
경유,https://finance.naver.com/marketindex/oilDailyQuote.nhn?marketindexCd=OIL_LO
두바이유,https://finance.naver.com/marketindex/worldDailyQuote.nhn?marketindexCd=OIL_DU&fdtc=2
WTI(서부텍사스유),https://finance.naver.com/marketindex/worldDailyQuote.nhn?marketindexCd=OIL_CL&fdtc=2
난방유,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_HO
천연가스,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_NG
구리,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_CDY
납,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_PDY
아연,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_ZDY
니켈,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_NDY
알루미늄합금,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_AAY
주석,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_SDY
옥수수,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_C
대두,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_S
대두박,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_SM
대두유,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_BO
소맥,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_W
쌀,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=2&marketindexCd=CMDT_RR
코스피,https://finance.naver.com/sise/sise_index_day.nhn?code=KOSPI
코스닥,https://finance.naver.com/sise/sise_index_day.nhn?code=KOSDAQ
선물,https://finance.naver.com/sise/sise_index_day.nhn?code=FUT
코스피200,https://finance.naver.com/sise/sise_index_day.nhn?code=KPI200
CD금리(91일),https://finance.naver.com/marketindex/interestDailyQuote.nhn?marketindexCd=IRR_CD91
콜금리(1일),https://finance.naver.com/marketindex/interestDailyQuote.nhn?marketindexCd=IRR_CALL
국고채(3년),https://finance.naver.com/marketindex/interestDailyQuote.nhn?marketindexCd=IRR_GOVT03Y
회사채(3년),https://finance.naver.com/marketindex/interestDailyQuote.nhn?marketindexCd=IRR_CORP03Y
달러인덱스,https://finance.naver.com/marketindex/worldExchangeDetail.nhn?marketindexCd=FX_USDX&fdtc=4
달러/영국 파운드,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_GBPUSD
달러/유로,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_EURUSD
달러/호주 달러,https://finance.naver.com/marketindex/worldDailyQuote.nhn?fdtc=4&marketindexCd=FX_AUDUSD
